Edge1-Edge2	KappaScore
GO:0000398 (term-term) GO:0000375	0.9939903034559134
GO:0001944 (term-term) GO:0001568	0.972838112096196
GO:0001944 (term-term-ontology) GO:0001568	2.0
GO:0003281 (term-term) GO:0003279	0.9073881373569218
GO:0003281 (term-term-ontology) GO:0003279	2.0
GO:0006090 (term-term) GO:0006007	0.5329352153456411
GO:0006195 (term-term) GO:0006007	0.5329352153456411
GO:0006195 (term-term) GO:0006090	0.7720140890169701
GO:0006355 (term-term) GO:0006351	0.9585836365174717
GO:0006355 (term-term-ontology) GO:0006351	2.0
GO:0006356 (term-term-ontology) GO:0006355	2.0
GO:0006364 (term-term) GO:0000462	0.4091560890116323
GO:0006396 (term-term) GO:0000375	0.5288093673918923
GO:0006396 (term-term) GO:0000398	0.5241471494159351
GO:0006396 (term-term) GO:0006364	0.43076547032223905
GO:0006396 (term-term-ontology) GO:0006364	2.0
GO:0006397 (term-term) GO:0000375	0.8353338421332597
GO:0006397 (term-term) GO:0000398	0.8397644380430236
GO:0006397 (term-term) GO:0006396	0.658330941446613
GO:0006397 (term-term-ontology) GO:0000398	2.0
GO:0006397 (term-term-ontology) GO:0006396	2.0
GO:0006446 (term-term) GO:0006417	0.4658493870402794
GO:0006446 (term-term-ontology) GO:0006417	2.0
GO:0007411 (term-term) GO:0007409	0.6870683376447247
GO:0007411 (term-term-ontology) GO:0007409	2.0
GO:0007420 (term-term) GO:0007417	0.8235645671472092
GO:0007420 (term-term-ontology) GO:0007417	2.0
GO:0008380 (term-term) GO:0000375	0.8500760946594325
GO:0008380 (term-term) GO:0000398	0.8442067673779472
GO:0008380 (term-term) GO:0006396	0.6543129956303612
GO:0008380 (term-term) GO:0006397	0.8314255876812193
GO:0008380 (term-term-ontology) GO:0000375	2.0
GO:0008380 (term-term-ontology) GO:0006396	2.0
GO:0009132 (term-term) GO:0006007	0.5418106935353396
GO:0009132 (term-term) GO:0006090	0.7810436358927867
GO:0009132 (term-term) GO:0006195	0.8040916742198622
GO:0009179 (term-term) GO:0006007	0.5702310129027288
GO:0009179 (term-term) GO:0006090	0.8093580560947844
GO:0009179 (term-term) GO:0006195	0.8331882990829368
GO:0009179 (term-term) GO:0009132	0.9638436746743219
GO:0009261 (term-term) GO:0006007	0.5509754092234108
GO:0009261 (term-term) GO:0006090	0.7902729593506583
GO:0009261 (term-term) GO:0006195	0.9533939909668132
GO:0009261 (term-term) GO:0009132	0.823267759273477
GO:0009261 (term-term) GO:0009179	0.8536926175048277
GO:0009891 (term-term) GO:0006351	0.5053523148979036
GO:0009891 (term-term) GO:0006355	0.5213220558764589
GO:0010468 (term-term) GO:0006351	0.6901257008269118
GO:0010468 (term-term) GO:0006355	0.6975894345428901
GO:0010468 (term-term) GO:0009890	0.4812340062553312
GO:0010468 (term-term) GO:0009891	0.5465376598646458
GO:0010468 (term-term-ontology) GO:0006355	2.0
GO:0010556 (term-term) GO:0006351	0.6655783321569843
GO:0010556 (term-term) GO:0006355	0.6732679555905594
GO:0010556 (term-term) GO:0009890	0.47490685002726957
GO:0010556 (term-term) GO:0009891	0.5607442873352091
GO:0010556 (term-term) GO:0010468	0.9730119020544312
GO:0010556 (term-term-ontology) GO:0010468	2.0
GO:0010557 (term-term) GO:0006351	0.5188401900676226
GO:0010557 (term-term) GO:0006355	0.537314544479533
