Function	Groups	Group Genes
RNA metabolic process	Group24	AAR2|AARS1|AATF|ABCA2|ABCC9|ABCG1|ABCG4|ABHD14B|ABHD2|ACIN1|ACKR1|ACTA2|ACTL6A|ACVR1|ACVR1B|ADAM8|ADARB2|ADCY1|ADCY7|ADCY8|ADCYAP1R1|ADGRB1|ADM2|ADNP2|ADRA2A|ADRM1|AEBP1|AGPAT2|AHNAK2|AJUBA|AK5|AKAP12|AKNA|ALAD|ALKBH8|ALPK2|AMBRA1|AMDHD2|AMH|AMOT|ANAPC2|ANK2|ANKRD17|ANTXR1|ANXA2|AP3D1|APBB2|APC|APLNR|APOBEC3C|AQR|ARAP1|ARHGEF2|ARID1A|ARID3A|ARID4B|ARID5B|ARL2BP|ARMC5|ARRB1|ASB1|ASCL1|ASH1L|ASS1|ASXL2|ATG16L1|ATG16L2|ATG7|ATMIN|ATP1A1|ATP2B4|ATRAID|ATXN7L3B|AUTS2|AXIN1|AXIN2|AXL|BAP1|BAZ1A|BAZ1B|BCKDK|BCL6B|BCL7A|BEND3|BHLHE40|BMP2|BMP7|BMPR1B|BMS1|BNC2|BRCC3|BRD2|BRD7|BRD8|BRIX1|BRMS1|BRPF1|BRPF3|BTG1|BTG2|BTN3A2|BTNL9|BTRC|BVES|BYSL|C1QTNF1|C9orf78|CACNG7|CADM1|CALR|CAMK2D|CAMSAP3|CARF|CARS2|CASZ1|CBX2|CBX5|CBX6|CCN1|CCN2|CCND1|CCND3|CCNY|CCT2|CCT3|CCT4|CCT5|CCT6A|CD2BP2|CD4|CD46|CD47|CDC5L|CDK12|CDK13|CDK2|CDK5R1|CDKN1A|CDKN1B|CDON|CEBPB|CEBPZ|CELF3|CELF4|CENPX|CEP295|CHAC1|CHCHD10|CHD3|CHD8|CHEK1|CHERP|CHP1|CHUK|CIAO1|CIART|CIC|CITED2|CKAP2|CLDN5|CLK4|CLSPN|CMTR2|CNN2|CNOT1|CNOT11|CNOT8|CNOT9|CNTN2|COL2A1|COPS5|CPAMD8|CPSF7|CRABP2|CRB2|CREB3L2|CREB3L4|CREB5|CREBBP|CRK|CRNKL1|CRTC2|CRTC3|CRY1|CSNK1D|CSNK1E|CSPG4|CSRNP2|CSTF2|CSTF2T|CTCF|CTF1|CTIF|CTNNB1|CTNNBIP1|CTR9|CTSA|CTSH|CTSZ|CWC22|CXXC1|CXXC5|CYBA|CYP26B1|CYP27B1|DACH1|DAXX|DBF4B|DBX1|DCAF1|DCAF13|DCAF6|DDAH1|DDAH2|DDIT3|DDIT4|DDX1|DDX17|DDX21|DDX23|DDX27|DDX39A|DDX42|DDX5|DDX56|DDX6|DGKQ|DHX15|DHX16|DHX29|DHX33|DHX35|DHX37|DHX38|DHX40|DHX8|DHX9|DIDO1|DKC1|DKK3|DMAP1|DNAJA1|DNAJB1|DNAJB11|DNAJB6|DNAJC2|DNMT1|DNMT3B|DNTTIP2|DPH3|DROSHA|DUSP15|DYNLL1|E2F3|E2F4|E4F1|EBF2|EBNA1BP2|EDC3|EDRF1|EED|EEF2K|EFNA3|EGF|EGFR|EGLN1|EGR2|EIF1|EIF2B4|EIF2S1|EIF3B|EIF3E|EIF4A3|EIF4B|EIF4E2|EIF4EBP1|EIF4EBP2|EIF4G1|EIF4G2|EIF4G3|EIF5|EIF5B|ELAC1|ELAVL4|ELF2|ELL2|ELOA|ELOF1|ELP1|ELP4|ELP5|EN1|ENC1|ENO1|ENPP2|ENY2|EP300|EPC2|EPHA2|EPHA4|EPHX2|EPRS1|EPS15|ERBB2|ERCC3|ERRFI1|ETF1|ETV1|ETV3L|EWSR1|EXOSC10|EXOSC3|EXOSC9|F11R|FADS1|FAM168A|FAM98A|FARSB|FASTKD5|FAXDC2|FBH1|FBLN5|FEN1|FGF13|FGFR1|FGFR2|FGFR3|FHIT|FKBP8|FLOT2|FMN2|FOXB1|FOXJ1|FOXK1|FRY|FTSJ3|FUS|FXR2|FYN|FZD4|FZD5|FZD7|GABPB2|GAL|GATA2|GATAD1|GCN1|GEMIN5|GIGYF2|GIT1|GJA1|GLI4|GLMP|GLYR1|GNL3|GOLGB1|GPAM|GPI|GPRIN1|GPS2|GRIA1|GRIN1|GSK3B|GSX1|GTF2B|GTF3A|GTF3C1|GTPBP4|GUCA1A|H1-0|H2AZ1|H3-3B|HARS1|HAS3|HCFC1|HDAC6|HDAC9|HDGF|HEATR1|HECTD1|HEG1|HES1|HES6|HIVEP2|HLA-A|HLA-B|HLA-DPB1|HMG20A|HMGA1|HMGA2|HMOX1|HNRNPA2B1|HNRNPAB|HNRNPH1|HNRNPM|HNRNPR|HRAS|HSD17B10|HSP90AA1|HSPA1B|HSPA5|HSPA8|HSPB1|HSPD1|HSPH1|HTATSF1|HTR2C|ICE1|ID1|ID2|IER2|IER5|IFRD2|IFT52|IGF2BP2|IGF2BP3|IGSF1|IK|IKZF1|IKZF4|IL13RA1|IL17RC|IL1RAP|IL27RA|ILDR2|ILF3|IMP4|INO80|INO80E|INPP5E|INPP5K|INSIG2|INTS15|INTS5|INTS7|INTS8|INTS9|IRAK1|IRS1|IRX3|IRX4|ITGA2|ITGA6|ITGB8|ITK|ITM2C|IWS1|JDP2|JMJD6|KANSL3|KAT6A|KAT7|KCNA4|KCNH4|KCNH8|KDM3A|KDM4A|KDM4B|KDM5B|KLF9|KLHL25|KMT2B|KMT2E|KNDC1|KPNB1|KRI1|LAS1L|LBH|LDB2|LDLR|LEF1|LGMN|LGR4|LHX1|LIMCH1|LIMD1|LIME1|LIN28A|LIN28B|LIN52|LITAF|LMNB1|LMO1|LMO3|LMX1A|LOXL3|LPIN3|LRP2|LRRC14|LRRC47|LRRFIP2|LTB4R2|LURAP1|LYAR|MACIR|MACROH2A1|MAF|MAFB|MAP3K12|MAPK14|MAPK15|MAPK3|MAPKBP1|MARF1|MARK1|MAST2|MBD1|MC1R|MCM3|MCM4|MCM6|MDK|MDM4|ME1|MECOM|MED1|MED23|MEIS3P2|MELTF|MEN1|MFAP1|MGMT|MIA3|MIEF1|MIF|MIR9-1HG|MKNK2|MLF2|MLLT3|MMD|MMP14|MMS19|MN1|MORC2|MOV10|MPHOSPH10|MRTFA|MRTO4|MSH6|MSI2|MSN|MST1|MTA3|MTOR|MXD1|MXI1|MYADM|MYBBP1A|MYCL|MYCN|MYO1C|MYRF|MYT1L|NAA15|NAB2|NACC1|NACC2|NCBP1|NCBP2|NCK2|NCL|NCOA1|NCOA5|NDRG2|NECAB3|NEDD4|NEDD4L|NEIL1|NEK4|NELFB|NEURL1B|NEUROG1|NEUROG2|NFATC1|NFATC4|NFIA|NFKBIZ|NFYA|NGDN|NHLH2|NHP2|NIFK|NKD1|NKRF|NKX1-2|NLRC5|NLRX1|NMNAT2|NMNAT3|NOC2L|NOG|NOL10|NOL6|NOL7|NOLC1|NOP14|NOP53|NOP56|NOP58|NOP9|NOS3|NOVA2|NPAS3|NPPC|NQO1|NR2C2|NR2F1|NR2F2|NR5A1|NR6A1|NRIP1|NSUN7|NT5DC2|NTN1|NTRK2|NTSR1|NUDT12|NXN|NYNRIN|OAS1|OAZ2|OCRL|OLFM1|OLIG1|ONECUT1|OR51E2|OTP|PABPC1L|PABPC4|PACSIN3|PAF1|PANX1|PANX2|PAOX|PAQR4|PAQR7|PARD3|PARP16|PASK|PATL1|PAX3|PAX6|PAX7|PBX1|PBX2|PBX4|PCBP3|PCBP4|PCNA|PDCD11|PDE2A|PDGFB|PDK1|PDK3|PDPK1|PELI1|PFKM|PGBD1|PGK1|PHAX|PHC1|PHC2|PHF14|PHF2|PHF24|PHF5A|PHF8|PHGDH|PHOX2B|PID1|PIK3R3|PIM1|PIR|PITHD1|PKIB|PKNOX1|PKNOX2|PLA2G3|PLAG1|PLAGL1|PLAGL2|PLIN5|PLK2|PLP1|PLRG1|PMEL|PNN|PODXL|POGK|POLE3|POLG|POLR1A|POLR1B|POLR2B|POLR2F|POLR2H|POLR2L|POLR3A|POLR3B|POLR3C|POLR3E|POLR3H|POP1|POP4|POP7|POU2F2|POU4F2|POU6F2|PPAN|PPHLN1|PPM1F|PPP1R10|PPP1R3B|PPP1R3C|PPP1R3E|PPP1R7|PPRC1|PRDM12|PRDM5|PRDM8|PRDX6|PRKAG1|PRKCA|PRKCD|PRKCG|PRKD1|PRKRIP1|PRMT1|PRMT2|PRMT5|PRMT8|PROX1|PRPF31|PRPF8|PSMC2|PSMC3IP|PSMC4|PSMF1|PSRC1|PTBP2|PTCH1|PTGIS|PTP4A3|PTPN11|PTPRK|PTX3|PUM3|PUS1|PWP1|PXDN|QTRT1|RADX|RAF1|RARA|RARRES2|RARS1|RASD1|RASSF2|RBFOX1|RBFOX2|RBFOX3|RBL2|RBM10|RBM15B|RBM17|RBM23|RBM4B|RBMS2|RBPMS2|RCN3|RCOR2|RELA|RELN|RESF1|RFC1|RFC4|RFX5|RGMA|RGP1|RHOQ|RIOK1|RIPK1|RLF|RNASET2|RNF10|RNF185|RNF20|RNF216|RNF25|RNF40|RNF6|RNH1|RNPS1|ROBO1|RPAP2|RPS26|RPUSD1|RPUSD2|RRP1|RRP1B|RRP36|RRP9|RRS1|RSRP1|RTF1|RTRAF|RXRB|S1PR1|S1PR2|SAFB2|SALL1|SALL4|SAMD11|SAP130|SAP30BP|SAP30L|SARS1|SART1|SASH1|SBNO2|SCARB1|SCNM1|SCRIB|SEMA4D|SENP3|SERPINB1|SERPINF1|SESN2|SETBP1|SETD5|SETD6|SF3A1|SF3A2|SF3A3|SF3B3|SF3B4|SFMBT1|SFPQ|SFRP1|SFRP2|SHC1|SHMT2|SIGIRR|SINHCAF|SIRT7|SKIDA1|SLC25A37|SLC2A6|SLC35A4|SLC38A2|SLC6A9|SLC7A5|SLC9A1|SLFN11|SLFN13|SLIT1|SLIT2|SLIT3|SLU7|SMAD6|SMARCA2|SMARCC1|SMARCC2|SMC3|SMC6|SMCR8|SMG7|SMOC2|SNAPC4|SNCA|SNRNP70|SNRPD3|SNW1|SOGA1|SON|SORL1|SORT1|SOX13|SOX21|SOX3|SOX6|SP8|SPHK1|SPIN1|SPIRE2|SPOCK2|SPON2|SPPL2B|SPRY2|SPTBN1|SQSTM1|SRA1|SRCIN1|SRF|SRRT|SRSF2|SRSF3|SRSF7|ST18|STARD4|STAT1|STAT3|STAT6|STAU1|STC2|STK19|STK24|STK38|STON1|STOX1|STX1B|SULF2|SUPT16H|SUPT5H|SUPT6H|SYT11|TAF10|TAF2|TAF3|TAF5L|TAF7|TANK|TAOK3|TASOR2|TBC1D7|TBL1X|TBRG4|TCF19|TCF7|TCF7L2|TCIM|TCOF1|TCP1|TDG|TDP2|TEAD3|TEF|TENM2|TENT5A|TESMIN|TET1|TFAP2C|TFCP2|TFCP2L1|TFDP1|TFDP2|TFIP11|TGFB2|TGFBR3|TGFBRAP1|TGS1|THBS1|THBS4|THY1|TIMP1|TIMP2|TLE1|TLX1|TMEFF2|TMX1|TNC|TNFAIP1|TNFAIP3|TNFRSF10B|TNFRSF1B|TNIK|TNIP2|TNRC6A|TOP1|TOP2B|TOX|TP53|TP53INP2|TPPP|TPR|TRAF3|TRAF4|TRAF5|TRAK2|TRIB3|TRIM37|TRIM44|TRIM5|TRIM52|TRIM56|TRIM6|TRIM65|TRIM66|TRIM67|TRIP13|TRMT1|TRMT6|TRPM4|TRPT1|TRRAP|TRUB2|TSHZ2|TSPO|TSSC4|TTF2|TWNK|TXNIP|UBAP2|UBE2E1|UBE2L3|UBTF|UFD1|UNK|UPF1|UPF3B|URM1|USB1|USF1|USP22|USP36|USP38|USP39|USP43|USP49|USP7|UTP14A|UTP15|UTP18|UTP20|UTP4|UTP6|VARS2|VEGFA|VIM|VPS25|VSTM2A|WAPL|WARS1|WDFY2|WDR3|WDR33|WDR43|WDR46|WDR5|WDR77|WIZ|WNT7A|WRN|WWC1|WWC2|WWC3|WWP2|WWTR1|XPO5|XRCC5|XRCC6|XRN2|YEATS2|YLPM1|YTHDF1|YTHDF2|ZBED4|ZBTB16|ZBTB38|ZBTB40|ZBTB7B|ZC3H13|ZC3H18|ZC3H3|ZFP3|ZFP36L1|ZFTA|ZHX2|ZIC1|ZIC2|ZIC4|ZIC5|ZIK1|ZKSCAN1|ZKSCAN5|ZMYND8|ZNF142|ZNF146|ZNF160|ZNF184|ZNF217|ZNF227|ZNF28|ZNF304|ZNF317|ZNF318|ZNF324|ZNF35|ZNF350|ZNF354C|ZNF362|ZNF382|ZNF385A|ZNF395|ZNF397|ZNF446|ZNF45|ZNF467|ZNF468|ZNF48|ZNF480|ZNF512B|ZNF516|ZNF528|ZNF530|ZNF536|ZNF549|ZNF587|ZNF592|ZNF598|ZNF608|ZNF614|ZNF623|ZNF638|ZNF646|ZNF654|ZNF664|ZNF707|ZNF710|ZNF721|ZNF747|ZNF778|ZNF782|ZNF783|ZNF845|ZNF853|ZPR1|ZSCAN18|ZSCAN29|ZSCAN30|ZSCAN32|ZSCAN9|ZSWIM8|ZXDC
RNA processing	Group18	AAR2|AARS1|AATF|ACIN1|ADARB2|AHNAK2|AK5|ALKBH8|AQR|BMS1|BRIX1|BVES|BYSL|C9orf78|CD2BP2|CDC5L|CDK12|CDK13|CELF3|CELF4|CHD8|CHERP|CLK4|CMTR2|CPSF7|CRNKL1|CSTF2|CSTF2T|CWC22|DCAF13|DDX1|DDX17|DDX21|DDX23|DDX27|DDX39A|DDX42|DDX5|DDX56|DHX15|DHX16|DHX35|DHX37|DHX38|DHX40|DHX8|DHX9|DKC1|DNTTIP2|DPH3|DROSHA|EBNA1BP2|EIF4A3|ELAC1|ELAVL4|ELP1|ELP4|ELP5|ENY2|EXOSC10|EXOSC3|EXOSC9|FAM98A|FASTKD5|FTSJ3|FUS|GEMIN5|GTF3A|GTF3C1|GTPBP4|HDAC9|HEATR1|HNRNPA2B1|HNRNPH1|HNRNPM|HNRNPR|HSD17B10|HSPA8|HTATSF1|IGF2BP3|IK|ILDR2|ILF3|IMP4|INTS15|INTS5|INTS7|INTS8|INTS9|IWS1|JMJD6|KRI1|LAS1L|LIN28A|LIN28B|LTB4R2|LTV1|LYAR|MACROH2A1|METTL17|MFAP1|MPHOSPH10|MRTO4|MTOR|NCBP1|NCBP2|NCL|NEDD4|NGDN|NHP2|NIFK|NMNAT3|NOL10|NOL6|NOL7|NOLC1|NOM1|NOP14|NOP53|NOP56|NOP58|NOP9|NOVA2|NR5A1|NSUN7|PABPC4|PAF1|PCBP4|PDCD11|PHF5A|PLRG1|PNN|PNO1|POLR1B|POP1|POP4|POP7|PPAN|PPP1R7|PRDX6|PRKCA|PRKRIP1|PRMT1|PRMT5|PRPF31|PRPF8|PTBP2|PUS1|PWP1|QTRT1|RBFOX1|RBFOX2|RBFOX3|RBM10|RBM15B|RBM17|RBM23|RBM4B|RBMS2|RBPMS2|RIOK1|RIPK1|RNPS1|RPS26|RPUSD1|RPUSD2|RRP1|RRP1B|RRP36|RRP9|RRS1|RSRP1|RTRAF|SAFB2|SARS1|SART1|SCNM1|SF3A1|SF3A2|SF3A3|SF3B3|SF3B4|SFPQ|SIRT7|SLC38A2|SLFN13|SLU7|SNRNP70|SNRPD3|SNW1|SON|SPIN1|SPPL2B|SRRT|SRSF2|SRSF3|SRSF7|STAT3|SUPT6H|SURF6|TAF10|TAF5L|TBRG4|TCOF1|TFIP11|TGS1|TOP1|TP53|TRMT1|TRMT6|TRPT1|TRRAP|TRUB2|TSSC4|TTF2|UPF1|UPF3B|URM1|USB1|USP22|USP36|USP39|USP49|UTP14A|UTP15|UTP18|UTP20|UTP4|UTP6|WDR3|WDR33|WDR43|WDR46|WDR77|XRCC5|XRN2|YTHDF2|ZC3H13|ZC3H3|ZFP36L1|ZNF638|ZPR1
cell morphogenesis involved in neuron differentiation	Group16	ABHD17C|ACAP3|ADCY1|ADGRB1|AFG3L2|AMOT|ANAPC2|ANOS1|APBB2|APLNR|ARHGAP33|ARHGAP6|ARHGEF7|ARSB|ATG16L1|ATP8A2|AUTS2|BMP7|BMPR1B|BOC|CAMKV|CAMSAP3|CBLN2|CDK5R1|CELSR3|CHRNA3|CHRNB2|CLDN5|CNTN2|CNTNAP2|CRABP2|CRK|CTNNB1|CXXC1|DAB1|DBN1|DDX56|DLG4|DLG5|DMPK|DOCK10|DRAXIN|DYNLL1|EEF2K|EFNA3|EFNB1|EFNB2|EFNB3|EGLN1|EGR2|EIF4G1|ELAVL4|ENC1|EP300|EPHA2|EPHA3|EPHA4|EPHA8|ERBB2|ETV1|F11R|FARP1|FERMT2|FGF13|FGFR1|FGFR2|FKBP4|FOXB1|FUT9|FYN|FZD4|FZD5|GOLGA4|GPC4|GPM6A|GRID1|GSK3B|HDAC6|HES1|HPRT1|ID2|IL1RAP|INPP5J|IRX3|ITGA6|ITM2C|KATNB1|KIF1A|KIF21A|KIF5A|KIFBP|KNDC1|KREMEN1|LDB2|LHX1|LIMCH1|LIN7A|LMX1A|LRP4|LRRC4C|LYPLA2|LZTS1|MAP1B|MAP1S|MAP4K4|MAPK14|MARK1|MARK2|MBOAT1|MDK|MLF2|MMP14|MRTFA|MYH10|MYO1C|NDEL1|NDNF|NECTIN1|NEDD4|NEDD4L|NEFL|NFATC4|NLGN2|NLGN4X|NOG|NOVA2|NPPC|NR2F1|NRN1|NRXN3|NTN1|NTNG1|NTNG2|NTRK2|OCRL|OLFM1|OMA1|PARD3|PARP6|PAX6|PCDH8|PDLIM5|PGRMC1|PHOX2B|PITPNA|PLA2G3|PLEKHG4|PLEKHG4B|PLK5|POU4F2|PPM1F|PRAG1|PRDM8|PREX1|PRKCA|PRKD1|PRMT8|PTCH1|PTPN11|PTPRD|PTPRO|PTPRZ1|RAPGEF1|RBFOX2|RELN|RGMA|RIPOR2|RND2|RNF6|ROBO1|ROBO2|S1PR2|SARM1|SCRIB|SDC2|SDC4|SEMA3A|SEMA3E|SEMA3F|SEMA4A|SEMA4C|SEMA4D|SEMA5A|SEMA5B|SEMA6B|SEMA6C|SERPINF1|SETD5|SEZ6|SF3A2|SFRP1|SFRP2|SIPA1L1|SLC1A3|SLC7A11|SLC9A1|SLIT1|SLIT2|SLIT3|SLITRK5|SLITRK6|SNCA|SPARC|SPARCL1|SPOCK1|SRCIN1|SRF|SRGAP3|ST8SIA2|STK24|STX1B|SULT4A1|TAOK2|TBC1D24|TCTN1|TGFB2|THBS1|THY1|TIAM2|TIMP1|TJP1|TLN1|TNIK|TOP2B|TOX|TRAK2|TRIM67|TRIO|TSC1|TTL|TUBB2A|ULK1|UNC5A|UNC5C|UNC5D|UNK|VANGL2|VCL|VEGFA|VIM|VLDLR|WNT7A|WNT7B|XK|YTHDF1|ZFYVE27|ZMYND8
cell-substrate junction assembly	Group06	AJUBA|ARHGAP6|ARHGEF7|CAMSAP3|CORO2B|DYNLL1|EPHA3|FERMT2|FYN|ITGA2|ITGA5|ITGA6|LAMA4|LDB2|LIMCH1|MAP4K4|MMP14|PLEC|PPM1F|PTPRK|SDC4|SFRP1|SLC9A1|STON1|TAOK2|THBS1|THY1|TLN1|TNS1|TRIP6|TSC1|VCL|VEGFA
chordate embryonic development	Group03	ACTL6A|ACVR1|ACVR1B|AMBRA1|AMOT|ARMC5|AXIN1|AXIN2|BAP1|BCL2L11|BMP2|BMP7|BRD2|BYSL|C2CD3|CAMSAP3|CCN1|CCNB1IP1|CDKN1A|CEBPB|CECR2|CELF4|CHD8|CHEK1|CHRD|CITED2|CNOT1|COL11A1|COL2A1|COPS3|CRB2|CTCF|CTNNB1|CTR9|DBN1|DCHS1|DHX35|DNAJB6|DSC2|DYNLL1|EGFR|EGLN1|EIF4A3|EN1|EP300|EPHA2|ETNK2|FGFR1|FGFR2|FKBP10|FKBP8|FKRP|FOXB1|FUZ|FZD5|GATA2|GNA12|GPI|GSE1|HCFC1|HEG1|HES1|HSD17B7P2|IFT172|IFT52|IFT57|INPP5K|INTU|IWS1|KIFBP|KLHL12|LEF1|LFNG|LHX1|LRP2|LUZP1|MAF|MAFB|MED1|MFN2|MFNG|MIA3|MMP14|MTHFD1L|MXI1|MYCN|MYH10|NASP|NCOA1|NDEL1|NKD1|NOG|NOLC1|NOS3|NR2F2|NUP133|NUP50|NXN|OCRL|PAX6|PAX7|PBX1|PCDH8|PDGFB|PHGDH|POLR1A|POLR1B|PRKCA|PRMT1|PROX1|PSMC4|PSPH|PTCH1|RARA|RGMA|RIC8A|RPGRIP1L|RRM2|RTF1|RXRB|SALL4|SAP130|SCRIB|SDC4|SEC24C|SEC24D|SEMA4C|SF3B3|SFRP1|SFRP2|SOCS3|SRF|STK24|SULF2|SUPT6H|TAF10|TCOF1|TCTN1|TET1|TFAP2C|TGFB2|TP53|TRIP6|TSC1|UNK|VANGL2|VASH1|VEGFA|WNT7B|XYLT1|ZFP36L1|ZPR1
enzyme-linked receptor protein signaling pathway	Group07	ACVR1|ACVR1B|ADAMTS12|ADRA2A|AMH|APC|ARHGEF7|ARID4B|ARID5B|AXIN1|AXL|BECN1|BLVRB|BMP2|BMP7|BMPR1B|BRMS1|CCN1|CCN2|CD4|CDK5R1|CDKN2B|CHRD|CHRDL1|CITED2|CLDN5|CNOT9|COL4A5|COL4A6|COL6A1|CRB2|CREBBP|CRK|CSPG4|CTNNB1|DACT2|DDIT4|DDX5|DGKQ|DKK3|DNAI1|DOCK3|DOK3|EFNA3|EFNB1|EFNB2|EFNB3|EGF|EGFR|EGR2|EIF4EBP2|ELAPOR2|EP300|EPHA2|EPHA3|EPHA4|EPHA8|ERBB2|ERRFI1|FARP1|FAT4|FBN1|FBN2|FERMT2|FGF13|FGFBP3|FGFR1|FGFR2|FGFR3|FKBP8|FSTL1|FSTL5|FUZ|FYN|FZD4|GAB1|GDF15|GFRA1|GIGYF1|GIGYF2|GIT1|GNG7|GPI|GREM2|GSK3B|HDAC6|HES1|HIP1|HRAS|HSPA5|HSPB1|ID1|IFI6|IGFBP2|IGSF1|INPP5K|INTS9|IRS1|IRS4|ITGA5|ITGB8|JAK1|LEF1|LGMN|LRP2|LRP4|LTBP1|LTBP4|MAPK14|MAPK3|MAPKAP1|MEN1|MIA3|MMP14|MMRN1|MTMR4|MTOR|MTSS1|MVB12A|MYO1C|NCK2|NCL|NCOA5|NDEL1|NEDD4|NFATC4|NFIA|NOG|NPPC|NR2F2|NTRK2|ONECUT1|PDGFB|PDGFD|PDPK1|PEG10|PHF14|PID1|PIK3R3|PIP4K2B|PLCE1|PRKCD|PRKD1|PRMT1|PROX1|PTP4A3|PTPN11|PTPRD|PTPRK|PXDN|RAF1|RAPGEF1|RARRES2|RBPMS2|RELA|RGMA|RHBDF1|RHOQ|ROBO1|SAP130|SAP30L|SCUBE3|SF3B3|SFRP1|SFRP2|SH2B3|SHC1|SIK2|SINHCAF|SIPA1L1|SMAD6|SMARCC1|SMOC2|SNCA|SNW1|SOCS3|SOGA1|SORL1|SORT1|SPRED1|SPRY2|SPTBN1|STAT3|STAT6|STON1|SULF2|TET1|TGFB2|TGFBR3|TGFBRAP1|THBS1|TP53|TRIB3|TRIO|TXNIP|VEGFA|VEGFB|VEPH1|VPS25|WDR54|WWTR1|ZBTB7B|ZC3H3|ZFYVE27|ZNF592
epithelial tube morphogenesis	Group05	ACVR1|ADAMTS12|APLNR|BMP2|BMP7|BRD2|BTRC|C1orf54|C2CD3|CECR2|CITED2|CTNNB1|CTNNBIP1|CTSH|CTSZ|CYP27B1|DCHS1|DLG5|DYNLL1|EFNB2|EGF|EPHA2|EPHA4|FAT4|FGF13|FGFR2|FUZ|GREB1L|HES1|HMGA2|HS3ST3A1|HS3ST3B1|IFT172|IFT52|IFT57|IRX3|KDM5B|LAMA1|LEF1|LGR4|LGR5|LHX1|LRP2|LUZP1|MDK|MED1|MMP14|MTHFD1L|MTSS1|MYCN|NFATC4|NOG|NTN1|NUP50|PBX1|PODXL|PRKCA|PROX1|PTCH1|RARA|RGMA|RYR2|SALL1|SALL4|SCRIB|SDC4|SEMA3E|SEMA4C|SFRP1|SFRP2|SLIT2|SPRY2|SRF|STARD13|STK24|STOX1|TCTN1|TFAP2C|TGFB2|TNC|TSC1|VANGL2|VEGFA
glial cell differentiation	Group13	ABCA2|ADAM22|ARHGEF10|ASCL1|BMP2|BNIP3|BOK|CDK5R1|CLCN2|CNTN2|COL6A1|CRB1|CSPG4|CSPG5|CTNNB1|DAB1|DLG5|DUSP15|EED|EGR2|EIF2B1|EIF2B4|EPHA4|ERBB2|FGF13|FKRP|GPR17|HES1|HMGA2|HRAS|ID2|LDLR|LEF1|LGI4|LIN28A|LRP2|MAL|MAPK3|MDK|MMP14|MMP24|MRTFA|MTOR|MXRA8|MYCN|MYRF|NAB2|NAGLU|NF2|NFIA|NOG|NPPC|NTN1|NTRK2|OLIG1|OMA1|PARD3|PAX6|PFKFB3|PHGDH|PHOX2B|PLAG1|PLEC|PLP1|PRDM8|PRDX6|PRMT5|PTPN11|PTPRZ1|RAF1|RELA|RELN|RNF10|SCRIB|SLC7A5|SOX13|SOX6|SRGAP3|STAT3|TGFB2|TNFRSF1B|TP53|TPPP|TSPAN2|TSPO|TTF2|VIM|WDR1
hindbrain development	Group02	AARS1|ARCN1|ASCL1|ATRN|BMP7|CDK5R1|CRK|CTNNB1|DAB1|DYNLL1|EGF|EGR2|EN1|FAIM2|FGF13|FZD4|GART|GATA2|HES1|HSPA5|KLHL1|KNDC1|LDB2|LEF1|LHX1|LMX1A|MAFB|MDK|MYH10|MYO16|NAGLU|NCOA1|NHLH2|NLGN4X|NOG|OMA1|PHOX2B|PIANP|PROX1|PTBP2|PTPN11|RBFOX2|RPGRIP1L|SCRIB|SEMA4C|SEZ6|TP53|UQCRQ|WNT7A
modulation of chemical synaptic transmission	Group14	ACHE|ADCY1|ADCY8|ADGRB1|ADRA2A|AKAP12|AMPH|ANAPC2|AP2B1|ATP1A2|ATP2A2|BAIAP3|BSN|C22orf39|CA2|CACNA1B|CACNA1G|CACNA2D2|CACNB2|CACNB4|CACNG4|CACNG7|CAMK2D|CAMKV|CBLN2|CELF4|CEP89|CHRDL1|CHRM3|CHRNA3|CHRNA4|CHRNB2|CHRNB4|CNTN2|CSPG5|CTNNB1|DBN1|DHX8|DLG2|DLG3|DLG4|DMPK|DTNA|EFNB3|EIF4A3|EIF4EBP2|ELFN2|EPHA4|FARP1|FBXO2|FBXO41|FER1L5|FXR2|FYN|GABRG2|GABRG3|GAD1|GIT1|GPRIN1|GRIA1|GRID1|GRIK3|GRIK4|GRIK5|GRIN1|GRIN2D|GRM3|GSK3B|HCN1|HDAC6|HIP1|HRAS|HRH3|HTR2C|IGSF21|IL1RAP|INSYN1|ITPR3|KCNB1|KCNC4|KCND2|KCNIP1|KCNN1|KCNQ3|KIF5A|LGMN|LIN7A|LRRC4|LRRC4C|LY6E|LYNX1|LZTS1|MAP1B|MAPK3|MPP2|NAPA|NAPB|NEFL|NETO1|NFATC4|NLGN2|NLGN4X|NMU|NOG|NPPC|NPTX2|NQO1|NRN1|NRXN3|NTNG1|NTNG2|NTRK2|NTSR1|P2RX3|P2RX6|PCDH17|PCDH8|PCDHB2|PDE9A|PHF24|PIP5K1C|PLK2|PLP1|PRKCA|PRKCG|PRRT2|PTPRD|PTPRN2|RAB3B|RARA|RELN|RGS4|RIC3|RIMS3|RPH3A|S1PR2|SCRIB|SEZ6|SIPA1L1|SLC12A4|SLC12A7|SLC1A3|SLC29A1|SLC38A2|SLC4A8|SLC6A1|SLC6A9|SLC7A11|SLITRK5|SNCA|SNCG|SNPH|SQSTM1|SRF|STAT3|STAU1|STX1B|SYN3|SYNGR1|SYNGR3|SYT11|SYT13|SYT2|SYT4|SYT6|SYT7|TAC1|TACR1|TBC1D24|TENM2|TH|TOR1A|TRIO|VDAC3|VGF|VPS18|WNT7A|YTHDF1|ZDHHC3|ZMYND8
