NAME	RNA splicing, via transesterification reactions	mRNA splicing, via spliceosome	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	blood vessel development	neuron migration	vasculature development	cardiac septum development	ventricular septum development	glucose catabolic process	pyruvate metabolic process	purine nucleotide catabolic process	DNA-templated transcription	regulation of DNA-templated transcription	regulation of transcription by RNA polymerase I	rRNA processing	RNA processing	mRNA processing	regulation of translation	regulation of translational initiation	cell-substrate junction assembly	enzyme-linked receptor protein signaling pathway	small GTPase-mediated signal transduction	chemical synaptic transmission	axonogenesis	axon guidance	central nervous system development	brain development	RNA splicing	nucleoside diphosphate metabolic process	purine ribonucleoside diphosphate metabolic process	ribonucleotide catabolic process	negative regulation of biosynthetic process	positive regulation of biosynthetic process	negative regulation of signal transduction	glial cell differentiation	regulation of gene expression	regulation of macromolecule biosynthetic process	positive regulation of macromolecule biosynthetic process	negative regulation of macromolecule biosynthetic process	positive regulation of macromolecule metabolic process	negative regulation of macromolecule metabolic process	post-transcriptional regulation of gene expression	negative regulation of gene expression	regulation of neuron projection development	RNA metabolic process	mRNA metabolic process	rRNA metabolic process	regulation of nucleobase-containing compound metabolic process	hexose catabolic process	pyridine nucleotide catabolic process	spinal cord development	telencephalon development	pallium development	limbic system development	hippocampus development	central nervous system neuron differentiation	neurogenesis	neuron differentiation	maturation of SSU-rRNA	forebrain development	hindbrain development	neuron projection development	positive regulation of cell projection organization	RNA biosynthetic process	gliogenesis	ribosomal small subunit biogenesis	chordate embryonic development	protein folding chaperone	negative regulation of nucleobase-containing compound metabolic process	positive regulation of nucleobase-containing compound metabolic process	positive regulation of transcription by RNA polymerase I	ADP metabolic process	ADP catabolic process	nicotinamide nucleotide metabolic process	neuron development	cell morphogenesis involved in neuron differentiation	generation of neurons	oligodendrocyte differentiation	neuron projection morphogenesis	dendrite morphogenesis	regulation of neurogenesis	negative regulation of neurogenesis	regulation of axonogenesis	modulation of chemical synaptic transmission	regulation of synapse organization	regulation of small GTPase mediated signal transduction	nuclear export	regulation of protein metabolic process	negative regulation of protein metabolic process	regulation of RNA metabolic process	negative regulation of RNA metabolic process	positive regulation of RNA metabolic process	regulation of nervous system development	negative regulation of nervous system development	epithelial tube morphogenesis	axon development	glycolytic process through fructose-6-phosphate	trans-synaptic signaling	regulation of plasma membrane bounded cell projection organization	plasma membrane bounded cell projection morphogenesis	ATP-dependent protein folding chaperone	intracellular signaling cassette	nucleic acid biosynthetic process	nucleoside phosphate catabolic process	regulation of cell junction assembly	regulation of intracellular signal transduction	positive regulation of RNA biosynthetic process	regulation of RNA biosynthetic process
RNA splicing, via transesterification reactions	1.0	0.9939903034559134	-0.017077062400274623	-0.050449677129870564	-0.039532794249774766	-0.05224826438151507	-0.029554444361518762	-0.025786286384059623	-0.017077062400274623	-0.034612359059523104	-0.034612359059523104	-0.011018266208559705	-0.01600029224278051	2.1195421788831653E-4	0.035346540615402364	0.5288093673918923	0.8353338421332597	0.07847800237812125	0.028538540922442873	-0.02771362586604795	-0.037655007621637294	-0.05957327606330672	-0.04646939720529831	-0.05083899094026083	-0.03068905616676492	-0.041191070526907285	-0.0404076050994749	0.8500760946594325	-0.034082106893881456	-0.0324454596140345	-0.033544315018704224	0.028095532357505695	0.008619642090425119	-0.05196777601690528	-0.021442891594271266	0.009315544327780931	0.006375213662052003	0.013420216308260124	0.03212024701907016	-8.605976452892882E-4	0.02596834068781938	0.07290599569516197	0.06904489707037503	-0.04010082493125648	0.11626647409279627	0.6405162759101842	0.03721332756382541	0.02318733782758438	-0.02091643759171604	-0.030149823138323	-0.012948727516980773	-0.046936419563661985	-0.03860096336880997	-0.034082106893881456	-0.027081089398366544	-0.030203142966654613	-0.059111168808689114	-0.06585933705173933	-0.004269594388533127	-0.05632402470700818	-0.006393579214064831	-0.053849928527233644	-0.03891050583657625	0.12609609061015684	-0.0281001504405773	-4.3164691282278106E-4	-0.03124500559373542	-0.009187649008548768	0.026345676319048505	0.023838034192334802	0.0040810953133239855	-0.030736424133240268	-0.029554444361518762	-0.03812570819169557	-0.05878882571460063	-0.049745842175393164	-0.06719249903910185	-0.011478577111033082	-0.05310723935525826	-0.019054278472162733	-0.031065950423919915	-0.034082106893881456	-0.034082106893881456	-0.031344223932315486	-0.04941044357102627	-0.04941044357102627	0.11777888875480623	-0.009210926413946822	0.0011970671853955216	0.028535786683299452	0.023493752828714232	0.030384613284258382	-0.03778722195257716	-0.035135228969202896	-0.05041204809298377	-0.054603228583271116	-0.016269004067250136	-0.04715286509789879	-0.05268098528086524	-0.05373480876784092	2.1195421788831653E-4	-0.06247704241481406	0.12133551855104394	-0.03860096336880997	-0.04656632173094896	-0.04948954019046579	-0.0026344067385349517	-0.016274080576367592
mRNA splicing, via spliceosome	0.9939903034559134	1.0	-0.017043228418440415	-0.04985707573028399	-0.03935194703729705	-0.05164002885235814	-0.029453252835298375	-0.025709219858154473	-0.017043228418440415	-0.034473649451855284	-0.034473649451855284	-0.009946242182107252	-0.014940102524740564	4.2785324633525695E-4	0.022600239332293215	0.5241471494159351	0.8397644380430236	0.07949790794979014	0.02906499589646987	-0.02762462835204705	-0.036914623313846796	-0.05916354981298893	-0.045814147321244926	-0.05036602887181144	-0.030376912932807858	-0.04038290880968177	-0.03971502533354034	0.8442067673779472	-0.03394760646317116	-0.03232354353755556	-0.03341401763145357	0.029143635646706263	0.009676033272258446	-0.051146326132265926	-0.021030017829478557	0.010434485118029592	0.007496932956219382	0.014473373380129695	0.03316823742703151	2.098385328666969E-4	0.027026198060669276	0.07391884939330896	0.07009384052179517	-0.03958800851602477	0.11495721351658954	0.6434294871794871	0.025499568339265585	0.024288924668882963	-0.020865702457793005	-0.030044520771694824	-0.012714175553424547	-0.046681710266154954	-0.038428522614573836	-0.03394760646317116	-0.02699610185598086	-0.02989392478302848	-0.05816463815274822	-0.06498321110946456	-0.022306548382133543	-0.055957636803027073	-0.006020021065790958	-0.0530705052585802	-0.03854205992380878	0.12468346660804693	-0.027658109038851686	-0.016193488169780557	-0.030598638500947583	-0.008961816991293682	0.027331784007225718	0.024870033045861228	0.0042978355745581075	-0.03062699177351214	-0.029453252835298375	-0.0379574782273077	-0.057971814700657834	-0.04915921642437751	-0.06630452755211912	-0.011247756177671039	-0.05249135271571378	-0.01879980627834322	-0.03060859382623696	-0.03394760646317116	-0.03394760646317116	-0.030779313228099812	-0.049128255805746215	-0.049128255805746215	0.11904906617117197	-0.008288958421924715	0.001890315457233038	0.029629805474918152	0.024458127740286998	0.031410391378890616	-0.0372898691197545	-0.03499230554001249	-0.05011833785631451	-0.054091687517672106	-0.016238293387206316	-0.04649276929314816	-0.052068910301693375	-0.05311325682115321	4.2785324633525695E-4	-0.06158140440655457	0.11997281164511904	-0.038428522614573836	-0.04631560267956102	-0.048566258535747656	-0.001672298861216604	-0.01521344191140165
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-0.017077062400274623	-0.017043228418440415	1.0	-0.018492028401256876	-0.015473585495464683	-0.018585325803001138	-0.013667425968107185	-0.012802275960170804	-0.010215664018156812	-0.014657980456022969	-0.014657980456022969	-0.010423199186903804	-0.009864294674421008	0.09563658099222912	0.4091560890116323	0.13189143341815124	-0.01786134750580138	0.0019011406844082893	-0.012464140864572724	-0.01326011251004246	-0.01894445014888518	-0.01781995698630996	-0.018701134042403287	-0.01794059017679295	-0.016147447398467935	-0.01172264575128045	-0.008740272922070344	-0.01784080512351312	-0.014562035743177456	-0.014254809549561532	-0.014462964347108588	-0.019798291191572236	-0.012323717811663042	-0.01937120455069516	-0.0165367234444051	-0.008451969044663762	-0.00877982080529697	-0.011934071640240693	-0.019769148722714826	-0.013332231081984787	-0.01986885061879651	-0.0030220055431280815	-0.019071057982858255	-0.0179015415216297	0.023956088770342117	-0.018670863438013913	0.3529289572081432	-0.011602252220656344	-0.011475773367336704	-0.013793389114405807	-0.013667425968107185	-0.016491791756614894	-0.015328748634231724	-0.014562035743177456	-0.013113559785086711	-0.016093535075651054	-0.019779083971059486	-0.019609924207424377	0.8352723426758334	-0.017517668846139804	-0.015013277047731257	-0.01924474720668063	-0.01697359662746654	0.02608951741899732	-0.017077062400274623	0.6046125318705087	-0.006434937131472567	-0.012961070333547766	-0.019416396067790356	-0.009926296422787381	0.10916855732016294	-0.013914883228901128	-0.013667425968107185	-0.015253242943747991	-0.019400339487163448	-0.01845482206640988	-0.01964781871323902	-0.013401068581937773	-0.018629002800438502	-0.014657980456022969	-0.017297187942543348	-0.014562035743177456	-0.014562035743177456	-0.017978541740502854	-0.016787129867102048	-0.016787129867102048	0.047610693986387016	-0.01294266995462121	-0.017881590810432835	-0.010734577780262173	-0.019308631619698736	-0.00881884595281223	-0.017755508223051386	-0.014750944202951614	-0.016901217249649866	-0.018201411236749773	-0.009920892231875483	-0.018730489073881546	-0.018607398656130494	-0.018660562333709246	-0.010759115361625916	-0.019650419280924182	0.025054066415579997	-0.015328748634231724	-0.01644586569209881	-0.014488951081569543	-0.007980004426103054	-0.009899902251252193
blood vessel development	-0.050449677129870564	-0.04985707573028399	-0.018492028401256876	1.0	0.0995687748783726	0.972838112096196	0.23244615863737614	0.22265961372862572	0.016229290748785145	0.03082507490205177	0.03082507490205177	0.03044877199846216	0.0377786372266365	0.002576323586243962	-0.04708082102565145	-0.0697956242630685	-0.04292586653509368	-0.007785467128028269	-0.016410536507858432	0.04397485070641407	0.28048025319939485	0.013443768511784252	-0.011273798596511541	0.132930881508673	0.12381174179069561	0.13408181304785527	0.15204318214751436	-0.06596718877063952	0.021570578841391713	0.0246260959257364	0.032923484566755166	0.08875451643456019	0.10965070912434859	0.12952138433937113	0.0861860073515825	0.03861985789570268	0.03973408099560731	0.11040403959954442	0.08427163178562785	0.1037416980855943	0.09191893426368584	-0.004399985948149173	0.11836527828971587	0.11958329685721726	-0.01028150578164971	-0.03616579846858866	-0.037306414822521713	0.02661865661596425	0.010834772888933563	0.028824595716260764	0.008576288239944425	0.06898008822195699	0.06245819770812029	0.07306686416553002	0.034283484918680524	0.10621679064824605	0.09768890711064399	0.10345680757811393	-0.024855273093379024	0.1471465076660987	0.10741806808394878	0.11222898814054524	0.07419641096430643	-0.007236273939817882	0.10581556409606037	-0.037964742838388056	0.1731908338759116	-0.019092289605173896	0.08138969324043122	0.08106381205493138	0.006774676364782942	0.027761286185850706	0.02989722827779392	0.013789706968727555	0.099097814681327	0.12779439546599553	0.10416502598834486	0.04282572443628046	0.12027465479514027	0.010313436275640304	0.16573087171678771	0.10396463536001171	0.07306686416553002	-5.186094352236874E-5	0.07058941660809268	0.025906215483482497	-0.01191836548130567	0.08830872227757715	0.0659470947797359	0.03037344726118947	0.07637803728841877	0.08883809939317028	0.16712934770928026	0.1114910609781286	0.21773200381376087	0.11703417128814837	0.028968274708619096	-0.012923122108818247	0.0951304268653538	0.11751279671925052	-0.020352956331314634	0.1779260467538596	-0.0011803365898800506	0.03269496588932929	0.12530260081521194	0.1788639429562539	0.09869439222244138	0.037127567051958334
neuron migration	-0.039532794249774766	-0.03935194703729705	-0.015473585495464683	0.0995687748783726	1.0	0.09367669012582604	-0.002531325148716861	-0.022297297297297528	-0.015473585495464683	0.03311181739381809	0.03311181739381809	0.006000212396898749	0.009685072335674994	-0.016755521706018708	-0.035373120211863625	-0.04473767549878657	-0.04400596691076838	-0.02527075812274513	-0.021291303746714972	0.02280896673420321	0.053901192504259794	0.06611343529250376	0.0590866349843707	0.2741678822437348	0.20459350374783872	0.2133125804654023	0.2649870959813195	-0.0438814824917328	0.03407632162445922	0.03708601310332389	0.035059807907607765	0.020387197769270907	0.01846390296585556	0.021078691423518987	0.18827885136355438	0.006418874390404543	0.00684438965508384	0.022126386962551956	0.023113219449420824	0.012148655364735233	0.017739860518653703	-0.020126082999021952	0.03110714209776472	0.2541066040898418	-0.007699275362319152	-0.040105024711696906	-0.038212463009820744	0.006566448836091044	-0.01856063384931469	0.04139269835305762	0.13264143779268425	0.31977617032891975	0.3124832358779025	0.26257439607888644	0.21197304083520468	0.24126907241462894	0.18663620360313135	0.18939961511906386	-0.019692087361262618	0.3800896595161346	0.20770043954820985	0.2201533406352685	0.1984990619136981	-0.005050867400381814	0.20762884913828394	-0.027108252689788413	0.07391823505998839	0.001002204850667965	0.030537619675612512	0.031289341166596395	-0.014122933718505353	0.0402825979177006	0.04252626249841833	0.026848543899535955	0.2166877458029422	0.24159775753328708	0.22137166067801944	0.13692785104732247	0.24939759036144524	0.07425599537705957	0.18129019684272224	0.1379390827401072	0.17948418718636847	0.07200472162109049	0.20803455723542125	0.03887688984880951	-0.029310051590226836	0.011144507108844784	0.0038768836597784053	0.006996974281392093	0.03139526304139311	0.030153563798517437	0.15536792156589127	0.1340430402930383	0.08181472242188355	0.25899170467415544	-0.014807189801251683	0.05751568381430328	0.214553717698039	0.24531423696388338	0.010357958872806916	0.04414973504491491	-0.003834592802764065	0.02601791749369663	0.1268909874392592	0.02169440033142364	0.036267691556857495	0.012752854320666567
vasculature development	-0.05224826438151507	-0.05164002885235814	-0.018585325803001138	0.972838112096196	0.09367669012582604	1.0	0.22165197578881993	0.2122034698453917	0.014629413081879632	0.027673025732032494	0.027673025732032494	0.031002802551195637	0.0387725808710263	0.0014794723215386652	-0.04827082021810133	-0.0743947978367251	-0.04583740757895507	-0.010906040268456926	-0.017070209270766943	0.04068005966253409	0.28177336574824413	0.01676131950078473	-0.016173229716406758	0.12533676737211347	0.11693705120598981	0.136658688714824	0.15638312979267283	-0.06823891795154086	0.018797746052250902	0.021834701055099392	0.029753119549175665	0.09216066674786423	0.11131430145455379	0.13148433487416555	0.08929245564187625	0.039022983987210554	0.03989155891743412	0.11245834949227902	0.08804162842708375	0.10436055993948126	0.0944862585500989	-0.008354140301672261	0.12782348831793813	0.11235188815957714	-0.011863091458682763	-0.040494527174151605	-0.03927630048841016	0.02614823948820639	0.009258358070952367	0.026001558489182543	0.0065821269936255965	0.07269482332296405	0.05793285763411202	0.06835341544355057	0.031408711119432706	0.09994866529774124	0.09336992646018916	0.09981119635578994	-0.025024119633382164	0.14727949908237026	0.10133394463365673	0.10438424717145313	0.06866399082568865	-0.008450259596033564	0.1076934718044753	-0.038360086572279656	0.17831706673700956	-0.009319324965917732	0.08373881213311628	0.08119442430693831	0.005673972533956601	0.024946933558533994	0.02706496973602494	0.011047101214750709	0.09129520037802949	0.12013386674873033	0.10035756737270783	0.03954605583791602	0.11269477881988028	0.007930346051464778	0.16557361906521317	0.09808681707833025	0.06835341544355057	-0.0042270836491014735	0.06525333074005643	0.02197802197802273	0.0060406672241543015	0.09044204571820022	0.06774805896637867	0.030660114294712177	0.07946545057063278	0.08960005494828978	0.1664198090193075	0.10530036897107865	0.2163381962354212	0.10974049115531619	0.026854443666899177	-0.017837876717255653	0.09470917541541066	0.11649425624194167	-0.02046603378128559	0.1863371555840847	-0.002579588040897142	0.0292404573590095	0.11831808993936019	0.17844194256273208	0.09984700530860777	0.03809487226047943
cardiac septum development	-0.029554444361518762	-0.029453252835298375	-0.013667425968107185	0.23244615863737614	-0.002531325148716861	0.22165197578881993	1.0	0.9073881373569218	0.023875812030705868	-0.022988505747126665	0.0022704697034182536	0.017491586461169138	0.020653461994244303	-0.014657980456026199	-0.02716619318181923	-0.02819037423613978	-0.031985061590820964	-0.01317957166391916	-0.01801544180726484	-0.019727010062769123	0.08468929554343071	0.04960947034415496	-0.005633249271280887	0.1114895616172885	0.17447174336002805	0.08525525791811392	0.11482397516181615	-0.03191924703314666	-0.022753390025279686	-0.022012109642976674	0.0033739565457638694	0.04129823000444875	0.043236680353785306	0.08098539607611747	0.028098618169603205	0.020687653376256575	0.01903303547112398	0.04709241357431743	0.04405841406233865	0.039820835999464135	0.04276442793844533	-0.0054164858677593734	0.05192330166035819	0.06051144811180462	0.003762396932876404	-0.014969330587479472	-0.011223743750867186	0.010788115948462997	0.01842033977013264	-0.02093089034853296	0.09276248725789953	0.17961051895488414	0.06742387001629806	0.05395311422661459	0.04056057135157046	0.15625356938892038	0.043118286709536414	0.053610271262640834	-0.016857089342570294	0.17676372060465578	0.12067238719108078	0.05655738365672096	0.038803402465832824	0.005907211865089727	0.07007985670572278	-0.022012109642976674	0.17515199446394147	-0.019072358751754358	0.04513926017807636	0.03804996612283997	-0.012602835638021784	-0.021211933263041702	-0.020642201834861987	-0.0012034323984937178	0.052638035924340826	0.10680615534334827	0.05546687248934368	0.038247429432187244	0.0859948087123338	-0.022988505747126665	0.15852257665458896	0.1817972879797768	0.10509078372788032	-0.006553764064493146	0.05998405739338208	0.04224790753288088	-0.02344204605281309	0.012583209280116874	0.034533838074004966	0.015725647088189836	0.052329439360503854	0.045938587113806946	0.14837173842012608	0.20139083618417175	0.24768271117934001	0.09828365920100994	-0.013144894540142078	-0.006136950904392823	0.046674871233874496	0.08416860419841746	-0.014657980456026199	0.05522374130931816	0.004866810492933543	-0.001655843315828686	0.0484133093832862	0.05262709699395335	0.051866513697852966	0.020452321042190545
ventricular septum development	-0.025786286384059623	-0.025709219858154473	-0.012802275960170804	0.22265961372862572	-0.022297297297297528	0.2122034698453917	0.9073881373569218	1.0	-0.012802275960170804	-0.02064220183485981	0.0065749235474015615	0.014618940126840622	0.01727066817667059	-0.013667425968113546	-0.02394928386945527	-0.030653950953678767	-0.02761741301295078	-0.02586206896551749	-0.016541945647893005	-0.0179738562091505	0.07492610837438404	0.04285940218250818	-0.009780907668230051	0.09390670110925353	0.14689671699017368	0.06365645980023	0.0850914962325079	-0.027568331762488484	-0.02045243259994101	-0.0198515171078117	0.007694723618094163	0.034653714515804186	0.034944300902198265	0.06841121495327097	0.034536196590657826	0.01802824336808764	0.016625125266593002	0.03813615626522562	0.03698694272486072	0.03329476316673497	0.03721510794692782	-0.027665840049595877	0.042704137678506435	0.054503464203232495	0.0031372980708369164	-0.029601905410003668	-0.025217932752177687	0.009006290107376384	-0.014845094664371923	-0.018967874231032317	0.10475199445022712	0.15455967814036953	0.0518815716657471	0.03470715835141205	0.01512357063814207	0.17033898305085055	0.03161333470521671	0.04421123485497512	-0.015560165975100161	0.1584836918806395	0.0562173155142388	0.04908301948583612	0.027955911823647556	0.004927527879434098	0.06114475483492858	-0.0198515171078117	0.14064286621776148	-0.017428785607193183	0.03274841132293461	0.030353948723507555	-0.011863568956999082	-0.01919838329403855	-0.018730489073881546	-0.021842621114533924	0.04661450716583834	0.09331250000000142	0.041401085930122455	0.04540579191991662	0.07345286292654711	-0.02064220183485981	0.1379151291512931	0.14502634025410704	0.11744654477843193	-0.014549272536372863	0.06806282722512914	0.049424083769632796	-0.021007151370679582	0.0063997724525344584	0.013716676999381507	0.013139142827348696	0.03844046034604168	0.036876937753398516	0.11632224733613189	0.16722004225777212	0.2286908646003262	0.08241073899806332	-0.012342691190702458	-0.010137741046831399	0.04334618530202098	0.07186004103031773	-0.013667425968113546	0.04644728321657679	0.004058967781943266	0.002628666297734301	0.05596930715414051	0.04424398625429543	0.04179142511307894	0.017101896447922763
glucose catabolic process	-0.017077062400274623	-0.017043228418440415	-0.010215664018156812	0.016229290748785145	-0.015473585495464683	0.014629413081879632	0.023875812030705868	-0.012802275960170804	1.0	0.5329352153456411	0.5329352153456411	-0.004007813795240968	-0.0030980347436045034	-0.010759115361625916	-0.01625152689999293	-0.010696447083215344	-0.01786134750580138	-0.017110266159697112	-0.012464140864572724	-0.01326011251004246	-6.674196529411841E-4	-0.0026286143447256244	-0.018701134042403287	-0.01794059017679295	-0.016147447398467935	-0.004200544295881032	0.0012969437239208257	-0.01784080512351312	0.5418106935353396	0.5702310129027288	0.5509754092234108	-0.0016281657360432446	0.002899195238135915	0.0011530478899223718	-0.0165367234444051	-0.006101265154116429	-0.006492338218436336	0.004001897991889355	-0.005670957726548136	4.5092100615904105E-5	-0.007380660611219297	-0.0030220055431280815	-0.01061403675478522	-0.0179015415216297	-0.007924742500978249	-0.008059708610535203	0.0037160134792040707	-0.003089470294535738	0.8766492959308105	0.6129152514290455	-0.013667425968107185	-0.016491791756614894	-0.015328748634231724	-0.014562035743177456	-0.013113559785086711	-0.016093535075651054	-0.015133165593059479	-0.019609924207424377	-0.011898466419879083	-0.017517668846139804	0.015285626744736634	-0.01924474720668063	-0.01697359662746654	-0.007316383038926389	0.002113070852559674	-0.014254809549561532	0.005546431167710952	-0.012961070333547766	0.006976261435583305	-1.2118674877932176E-4	-0.00960896837048156	0.6016762958743613	0.6245676200118119	0.5068769962844645	-0.019400339487163448	-0.01845482206640988	-0.014295336725243864	-0.013401068581937773	-0.018629002800438502	-0.014657980456022969	7.080720210404533E-4	0.01816577186144247	-0.014562035743177456	-0.017978541740502854	-0.016787129867102048	-0.016787129867102048	-0.01484106378499704	-0.006449447711321441	-0.0030220055431280815	-0.0045146726862304535	0.0022260577807169148	-0.00340962962062534	-0.0022172561891141023	0.01696002280338886	-0.016901217249649866	-0.018201411236749773	0.8557255868240146	-0.018730489073881546	-0.018607398656130494	-0.018660562333709246	-0.010759115361625916	-0.008973451539762757	-0.007611647854001217	0.47088501831737356	-0.01644586569209881	-0.004110547489941801	-0.0021870158949188843	-0.0031559963931470517
pyruvate metabolic process	-0.034612359059523104	-0.034473649451855284	-0.014657980456022969	0.03082507490205177	0.03311181739381809	0.027673025732032494	-0.022988505747126665	-0.02064220183485981	0.5329352153456411	1.0	0.7720140890169701	-0.02413474193433676	-0.022615204678362723	0.015452151009655711	-0.031381396779817716	-0.02852177690887304	-0.025257584430451986	-0.003861003861003643	0.008161983989952716	-0.02185913005078803	0.03186027429375209	-0.02491489824002427	-0.01384384146823887	-0.02591868101159684	-0.03099561678146364	0.011247463903716512	-0.006136218968810781	-0.03790087463556951	0.7810436358927867	0.8093580560947844	0.7902729593506583	-0.012752167621121335	-0.007807267247153576	0.005928067955900168	0.05429908364203697	-0.022273506527759904	-0.023080479847928145	-0.013574363906618998	-0.015986924432413552	-0.01636158359399586	-0.020005012645537244	-1.0668183919428323E-4	-0.012757949099503493	-0.025592082007777683	-0.02831510688575042	-0.022824460124010706	-0.01718973224572768	0.003597435147336698	0.5511473480709423	0.8502418845965071	-0.022988505747126665	-0.03228977244802793	-0.0281133965933885	-0.025637705554836417	-0.021463705470264032	-0.012055804158991506	-0.007390189365706841	-0.020316161872490426	-0.018389865140990606	-0.03647165283078215	-0.02707016143883262	-0.023814682766363133	-0.0023687150837986425	-0.02716414907225062	0.043178043877283294	-0.024700448490529568	0.012226244881001602	-0.021058193071174014	0.004004266554755946	-0.014480816239770884	0.019787194325180033	0.8396618625277159	0.8610756350219955	0.7562805095844756	-0.02680799108169794	-0.030375676070750347	-0.016306933690903476	0.0036347775516121766	-0.03195427327163849	-0.025936599423632512	-0.020735507999169348	-0.025637705554836417	-0.025637705554836417	-0.0016571152385555627	-0.016906641895031438	-0.016906641895031438	-0.0041998370212503276	-0.015232449943137119	-0.025425838341453445	-0.021911043580357652	-0.018314326712483897	-0.015943273976791666	-0.011251706201350093	-0.026229092752152048	-0.0015882379634232994	-0.028142348297662295	0.5420380409813467	-0.01436377829820466	-0.012197132025713969	-0.03224420758718967	-0.015803336259877215	-0.0010355838103731075	-0.02772229879884104	0.7062533152590319	-0.014471206264249505	-0.0023954612313508996	-0.013497579744321283	-0.022711798009570225
