GeneSymbol,Gene ID (Biomart),log2FC_hypo,Significance_hypo,log2FC_hyper,Significance_hyper
A1BG,1,0.1742016412102698,0,0.0110267770636403,0
A1BG-AS1,503538,-0.1046324731904997,0,0.0376672820784804,0
A2M,2,0.2147209305018016,0,0.0744657858801005,0
A2M-AS1,144571,0.1289699833543105,0,-0.0221382977152897,0
A2ML1,144568,0.0654916044061098,0,0.0361999915674493,0
A2ML1-AS1,0,-0.0257524160252797,0,-0.02535823016178,0
A2MP1,3,0.0271555236993101,0,0.0281698095594205,0
A3GALT2,127550,-0.0758245247533198,0,0.0265900972174302,0
A4GALT,53947,-0.0316245505172405,0,0.0590209412575193,0
AAAS,8086,0.0142755095451008,0,0.0186697537127003,0
AACS,65985,-0.0214823400684593,0,-0.0342364602194695,0
AACSP1,729522,0.1384911645471493,0,0.0148026135816294,0
AADAT,51166,-0.0916244321977011,0,-0.0030611198070005,0
AAGAB,79719,-0.1460807220787998,1,-0.0206818115798999,0
AAK1,22848,0.0070115995403998,0,0.0172284700086002,0
AAMDC,28971,-0.1227811384492501,0,-0.0302589288365098,0
AAMP,14,-0.1154330922335997,1,-0.0323548742617987,0
AANAT,15,-0.0210113230807102,0,-0.0259974869202599,0
AAR2,25980,-0.1587824470165912,1,-0.0037954255906296,0
AARD,441376,0.0084134672583404,0,0.09604743285694,0
AARS,16,0.1825864834125994,1,-0.0247312905643006,0
AARS2,57505,-0.0064237129894006,0,-0.0260580767067306,0
AARSD1,80755,0.0547841275041403,0,0.1268743163063606,0
AASDH,132949,0.1054044660508903,0,0.0587875320839099,0
AASDHPPT,60496,-0.0423469111723004,0,0.0298168753353991,0
AASS,10157,0.0408724077881004,0,-0.0144105024082996,0
AATBC,284837,0.0455388090159099,0,0.0,0
AATF,26574,-0.1659962912706003,1,-0.0527055544296999,0
AATK,9625,0.344035304344529,1,-0.0935695282722903,0
AB015752.1,0,-0.0402411219169991,0,-0.0307057765971494,0
ABALON,103021294,-0.0405370531385402,0,-0.0154347989927403,0
ABAT,18,0.0559069990248985,0,-0.0198440750288,0
ABBA01000935.2,101930420,-0.0486236675298901,0,-0.0169888890034402,0
ABCA1,19,-0.0594909246377,0,0.031574493485099,0
ABCA10,10349,0.0113835849108898,0,0.0668257814637298,0
ABCA11P,79963,0.1810777685451592,0,0.02144565466737,0
ABCA12,26154,-0.0518791765141299,0,-0.0198671626184703,0
ABCA13,154664,0.0269484848547101,0,-0.1026477526272904,0
ABCA17P,650655,0.0196957786960103,0,-0.1206244467290496,0
ABCA2,20,0.2619524758741995,1,0.0238857862171997,0
ABCA3,21,-0.1632838084388996,1,-0.0176779716478989,0
ABCA4,24,-0.07665359584868,0,-0.1054395187776995,0
ABCA5,23461,0.1815011558330894,0,0.0114221466819799,0
ABCA6,23460,0.0882837663814299,0,0.0581498782022107,0
ABCA7,10347,0.0489585594222798,0,0.03319328491302,0
ABCA8,10351,0.0570938396480302,0,-0.1850596920561198,0
ABCA9,10350,0.0994381724810606,0,-0.0134255739604194,0
ABCA9-AS1,0,-0.0557461575600299,0,-0.0557461575600299,0
ABCB1,5243,-0.2248505966042202,0,-0.0222681696590001,0
ABCB10,23456,-0.08791285117168,0,0.0232858359301495,0
ABCB10P1,0,0.1384726301046406,0,0.0060855727683497,0
ABCB10P4,0,0.0,0,0.0314119775577497,0
ABCB11,8647,0.0647847569147899,0,0.05622478699149,0
ABCB4,5244,-0.0410751468719299,0,0.0372102500969999,0
ABCB6,10058,-0.0316859452938498,0,-0.0605032174285602,0
ABCB7,22,0.0971636423442099,0,0.0098202782351695,0
ABCB8,11194,-0.1164997226351705,0,0.0091306614835406,0
ABCB9,23457,-0.0572851179983402,0,0.0291095177454003,0
ABCC1,4363,0.0248430525693006,0,0.0561316505932012,0
ABCC10,89845,-0.0186706449007392,0,-0.0214123776115506,0
ABCC11,85320,0.1389228177098997,0,0.0044851339536897,0
ABCC12,94160,0.0761884033309501,0,0.0377203512948005,0
ABCC13,150000,0.0,0,0.0290159263209499,0
ABCC2,1244,0.0572737697057696,0,-0.0205391447042302,0
ABCC3,0,0.0275504909239705,0,0.0628461576710597,0
ABCC4,10257,0.0999548122531415,0,-0.0379617341644884,0
ABCC5,10057,-0.219132311693599,1,0.0215520513681006,0
ABCC6,368,0.0542234323882802,0,-0.0803517021188202,0
ABCC6P1,0,0.1325364174435197,0,0.0084140045109295,0
ABCC6P2,0,0.1269659651823804,0,-0.0459978653858899,0
ABCC8,6833,0.0188300432660408,0,-0.0773157445983603,0
ABCC9,10060,0.4465134477260388,1,-0.0289804208345501,0
ABCD1,215,-0.0867233212700995,0,0.11229086995945,0
ABCD1P5,0,0.0,0,0.0274051013893901,0
ABCD2,225,-0.0684965696172605,0,0.1116863497861695,0
ABCD3,5825,-0.0908575757077994,0,0.0355594984668012,0
ABCD4,5826,0.0722532572678016,0,0.0104677686286009,0
ABCE1,6059,-0.0879473247054996,0,-0.0325219249897994,0
ABCF1,23,-0.1441911030343998,1,-0.0235249477861003,0
ABCF2,0,-0.25032596984164,1,-0.0377559061779901,0
ABCF2P1,0,-0.0283573338898897,0,-0.0247520499778097,0
ABCF3,55324,-0.1593855824270011,1,-0.0023362825112105,0
ABCG1,9619,-0.3514858066243507,1,0.077789654547729,0
ABCG2,9429,-0.0520079154551202,0,-0.0216199880568703,0
ABCG4,64137,0.2287837993698094,1,0.0496398637719499,0
ABCG5,64240,0.0,0,0.0,0
ABCG8,64241,-0.0322451791053497,0,0.0610964929466204,0
ABHD1,84696,0.2368263782905195,1,0.0098035440562096,0
ABHD10,55347,0.0220742335026198,0,-0.0336282220811892,0
ABHD11,83451,0.0981194609277498,0,-0.0144306051884699,0
ABHD11-AS1,0,0.0496714830493196,0,-0.0279299197892397,0
ABHD12,26090,0.1041102989094096,0,0.0668685032959501,0
ABHD12B,145447,0.0339577406562101,0,0.0384079147338205,0
ABHD13,84945,0.0414867025578402,0,0.0122526491833401,0
ABHD14A,25864,0.0879497108630298,0,-0.0384970163884501,0
ABHD14A-ACY1,100526760,0.0578345996727902,0,-0.0581107204498998,0
ABHD14B,84836,0.2676481816947902,1,-0.0116960603953595,0
ABHD15,0,-0.1488320925308697,0,0.0019271893919805,0
ABHD15-AS1,0,0.01778497435245,0,-0.0585752387697198,0
ABHD16A,7920,-0.0593055418798407,0,-0.0559628457695007,0
ABHD16B,140701,0.02750697470064,0,0.0545081259271498,0
ABHD17A,81926,-0.0571445308078608,0,0.0574650423332787,0
ABHD17AP1,0,-0.0085668072231808,0,-0.0315807310370104,0
ABHD17AP3,0,-0.00560516126985,0,-0.12109795574644,0
ABHD17AP4,0,-0.0914787252076898,0,-0.0802661450273696,0
ABHD17AP5,0,-0.0260975450446201,0,-0.0966729539285502,0
ABHD17AP6,0,-0.0249265486030596,0,-0.0570267032018101,0
ABHD17B,51104,0.0048392347624002,0,0.0027690381826399,0
ABHD17C,0,-0.2050753792148594,1,-0.0225487294887294,0
ABHD18,80167,0.0836270686692,0,-0.0185976444554114,0
ABHD2,11057,-0.1754657932627008,1,-0.0253122970398003,0
ABHD3,171586,0.2352340395768202,1,0.0011994075127201,0
ABHD4,63874,0.0624051095849402,0,-0.0244279636143698,0
ABHD5,51099,-0.1821667348739701,1,-0.0051876311529603,0
ABHD6,57406,-0.0023830465816603,0,0.0721675810579096,0
ABHD8,0,-0.0082025708941095,0,0.09621089627821,0
ABI1,10006,-0.018201276282781,0,-0.0098065438079011,0
ABI1P1,0,0.0033122308690298,0,-0.0266815106657203,0
ABI2,10152,0.0794693762272,0,0.0172319928588997,0
ABI3,51225,0.1190504383907598,0,0.0139858321107793,0
ABI3BP,25890,0.0919034589773399,0,0.0994562096132494,0
ABL1,25,-0.0709211485423999,0,-0.0058789855458005,0
ABL2,27,0.0117295382782014,0,-0.0105850654324992,0
ABLIM1,3983,-0.0428266153025003,0,0.0288268967107008,0
ABLIM2,84448,0.1211608420646799,0,-0.0228474646857099,0
ABLIM3,22885,0.0482690035651209,0,0.0396998869989513,0
ABO,28,0.1620796797881798,0,-0.0041065762250198,0
ABR,29,0.0440036056612989,0,-0.0054536132241995,0
ABRA,137735,0.0438197674898699,0,0.0316347785264499,0
ABRACL,58527,0.0346563290084311,0,-0.0361118751912687,0
ABRAXAS1,84142,0.1962259838613498,0,0.028295037137699,0
ABRAXAS2,23172,-0.0014617329205695,0,-0.0053588434581097,0
ABT1,0,-0.1182128716071595,0,-0.0166696443243896,0
ABT1P1,0,0.0,0,0.0316347785264499,0
ABTB1,80325,-0.02629514230102,0,0.0608238776330498,0
ABTB2,25841,0.0053456340780986,0,-0.0073517805951706,0
AC000032.1,0,0.0,0,0.0,0
AC000035.1,0,-0.0195346051252798,0,0.0152700723216803,0
AC000036.1,105373100,-0.0303451925360898,0,-0.0303451925360898,0
AC000058.1,0,0.0519969283459396,0,0.0089894704667399,0
AC000067.1,0,-0.0038241457654901,0,-0.0313311204661301,0
AC000068.1,0,0.0750693366744297,0,-0.0294116695573096,0
AC000068.2,0,0.0243032349968501,0,-0.08326975399632,0
AC000068.3,0,0.1299720445321899,0,-0.0076881863985205,0
AC000089.1,0,-0.1119389807311899,0,-0.0505440106589496,0
AC000093.1,0,-0.1594150572839803,0,-0.0787287720312095,0
AC000095.1,0,-0.06176967989503,0,0.0395995281430492,0
AC000095.3,0,-0.02364707073085,0,0.0461085741858493,0
AC000120.1,0,0.0350727634953198,0,0.0376260243998993,0
AC000123.2,0,-0.0833741296663408,0,-0.0594514931912604,0
AC000123.3,0,0.0260108725359096,0,0.1233786568198098,0
AC000367.1,0,0.0304900786195503,0,0.0314119775577497,0
AC000403.1,0,-0.0142273140694397,0,0.0309651289471801,0
AC001226.1,0,0.0483314111532804,0,0.0336607548587606,0
AC001226.2,0,-0.1217692981951499,0,-0.0982878579500194,0
AC002044.1,0,0.0194768007094205,0,-0.0312883856039798,0
AC002044.2,0,0.0779368927543302,0,-0.0281873113714699,0
AC002044.3,0,0.0172085826730699,0,0.0619462341981194,0
AC002056.1,0,0.0211312067841795,0,0.0299934862762398,0
AC002059.1,0,-0.1277375698915799,0,-0.01051610376589,0
AC002059.2,0,0.0575007162353999,0,0.1708301138189503,0
AC002059.3,0,-0.0632248485701403,0,-0.0632248485701403,0
AC002064.1,0,-0.0171238946089102,0,-0.0065230006726704,0
AC002064.3,0,-0.0566575252555301,0,-0.0566575252555301,0
AC002070.1,0,-0.07128648530934,0,0.0274873967623596,0
AC002072.1,0,0.0339984214625701,0,0.0543136548290004,0
AC002074.1,0,0.04043789666453,0,-0.0295113734437002,0
AC002075.2,0,0.1129446257229096,0,-0.0626431314961397,0
AC002076.1,105375401,0.0082624749619393,0,-0.0254460432171201,0
AC002076.2,0,0.0048462078405195,0,-0.0690252471641201,0
AC002090.1,0,0.0,0,0.0,0
AC002094.2,0,-0.0303451925360898,0,0.0377485271353599,0
AC002094.4,0,-0.06367583711235,0,0.0039047706233095,0
AC002101.1,0,-0.0344340332884502,0,-0.0344340332884502,0
AC002116.2,0,0.1663199487172599,0,0.1232594271787093,0
AC002127.2,0,0.0439014744336399,0,-0.0314292097841901,0
AC002128.1,0,-0.0642988048730393,0,-0.0933484449140298,0
AC002128.2,0,0.0085793823659603,0,0.0010889875772202,0
AC002310.1,107984875,0.2453986156788197,0,0.0313325301332705,0
AC002310.2,0,-0.1603573548963401,0,0.0294183973829698,0
AC002310.3,0,0.02123858911599,0,-0.0729470357502197,0
AC002310.6,0,-0.01263344905185,0,-0.1572100401388603,0
AC002347.1,0,-0.1940354608359795,0,-0.1110119825830295,0
AC002347.2,0,-0.0266815106657203,0,-0.0266815106657203,0
AC002350.1,0,-0.0285158960984501,0,0.0046540294183401,0
AC002351.1,105369980,-0.0689650975486895,0,-0.1175415121594092,0
AC002367.1,0,-0.0600107070191597,0,-0.0585702684405999,0
AC002368.1,0,0.0916607701189393,0,0.0521295617330297,0
AC002377.1,0,0.0299937415347502,0,0.0290159263209499,0
AC002381.1,0,0.0018237066292803,0,-0.03041975277063,0
AC002383.1,0,-0.03383051562,0,-0.0377507615213206,0
AC002398.1,0,-0.0567556145735901,0,-0.0277396882526401,0
AC002398.2,0,0.0322178276693305,0,0.0063083737370499,0
AC002401.1,0,-0.06018279984041,0,-0.0914190855794201,0
AC002401.2,0,0.0625466932120906,0,0.1140686767263003,0
AC002401.3,0,-0.0737311845195805,0,0.0284095851325698,0
AC002401.4,0,0.0275504909239705,0,0.0,0
AC002407.1,0,0.1463310014211503,0,-0.0002516992801098,0
AC002428.2,0,0.0,0,0.0,0
AC002429.1,0,0.0,0,0.0274051013893901,0
AC002429.2,0,0.0168473325304496,0,0.0542722175477896,0
AC002451.1,0,0.0960826304193398,0,0.0278977641335202,0
AC002454.1,101927497,0.19593884877247,0,-0.0708073024627093,0
AC002456.1,0,-0.0849209956785896,0,0.0243787907591306,0
AC002467.1,101927974,-0.0308680759308899,0,-0.03822461386551,0
AC002470.1,0,0.0721069174865594,0,0.0581945241760495,0
AC002470.2,0,0.0346517944906601,0,0.0,0
AC002472.1,0,0.0,0,0.0,0
AC002472.2,0,0.0089507432565207,0,-0.1123705662904992,0
AC002472.3,0,-0.0522725608227601,0,-0.0035744921324001,0
AC002480.1,100506178,0.0226600819192901,0,-0.0852769754711992,0
AC002480.2,0,-0.0543220263857007,0,-0.1113868361284504,0
AC002486.1,0,0.0029496040438701,0,-0.0254430328891501,0
AC002504.1,0,0.0299937415347502,0,0.0,0
AC002519.1,0,-0.0902562539547595,0,-0.0696385129498793,0
AC002519.2,0,-0.0081456701884103,0,0.1553181979472899,0
AC002524.1,0,-0.0910672318296796,0,-0.0892362875482799,0
AC002540.1,0,-0.0233608366411903,0,-0.0265784510185405,0
AC002545.1,0,0.0346517944906601,0,0.0,0
AC002550.1,0,0.0659024640873395,0,0.0327223430534795,0
AC002550.2,0,0.03612066815628,0,0.1137994199631604,0
AC002551.1,0,-0.0266815106657203,0,-0.0266815106657203,0
AC002553.1,0,-0.0181426355168401,0,0.0487132009312496,0
AC002553.2,0,-0.0195831762303901,0,-0.0775218240849007,0
AC002558.1,0,-0.0990880008276402,0,-0.0570838836776896,0
AC002558.2,0,0.0299937415347502,0,0.0,0
AC002558.3,0,-0.01212990410529,0,-0.0077417166055395,0
AC002984.1,0,-0.0018999865692501,0,0.0309524295670593,0
AC003001.1,0,0.0,0,0.0,0
AC003002.2,0,-0.1445578965205403,0,-0.0898421978335797,0
AC003002.3,0,0.0209138861397599,0,-0.0557845332075199,0
AC003005.2,0,-0.1361775062870496,0,-0.0607121324781791,0
AC003035.1,0,0.0152589125373898,0,0.1011338359279001,0
AC003043.2,0,0.0266800332590593,0,0.0568117161983998,0
AC003070.1,0,-0.0617508732367602,0,-0.0617508732367602,0
AC003071.1,0,0.0511543202348603,0,0.1147145528204998,0
AC003072.1,0,-0.1018675128896697,0,0.0566203645957195,0
AC003080.1,0,3.351224602976544e-05,0,-0.0597604380778502,0
AC003084.1,0,0.0625902332182999,0,0.0,0
AC003098.1,0,0.0157095056374094,0,-0.0428642557256502,0
AC003101.2,0,0.0299937415347502,0,0.0,0
AC003101.3,0,0.0322434593999103,0,0.0,0
AC003102.1,0,-0.0954385345307899,0,-0.0158401602276798,0
AC003665.1,114881,-0.0965424465047011,0,-0.0093083113400709,0
AC003666.1,0,0.0377970202484405,0,0.09100538987781,0
AC003669.1,0,0.0275504909239705,0,0.0274051013893901,0
AC003681.1,0,-0.0282160920905001,0,0.0808006522358892,0
AC003682.1,0,-0.0318994004842494,0,-0.0002002392304394,0
AC003685.2,0,0.0,0,0.0,0
AC003956.1,0,0.0332163262412201,0,-0.0314292097841901,0
AC003957.1,0,0.0,0,0.0,0
AC003965.1,0,0.1093351310470103,0,-0.0516312130791698,0
AC003985.2,0,0.0050835223813505,0,-0.03305719950235,0
AC003986.1,0,0.0,0,0.0271030245377597,0
AC003986.2,0,-0.0303451925360898,0,-0.0032421679983301,0
AC003986.3,0,0.0,0,0.0316347785264499,0
AC003991.1,0,0.0836362140422304,0,-0.0501347260628,0
AC003991.2,102723885,0.07890128115499,0,-0.0268190180324401,0
AC004000.1,0,-0.0557461575600299,0,-0.0286431330222702,0
AC004012.1,0,-0.1204592903770196,0,-0.0095906246777595,0
AC004014.1,0,0.0,0,0.0,0
AC004022.1,0,0.0,0,0.0314119775577497,0
AC004023.1,0,0.0390220868646498,0,0.0554256098558099,0
AC004024.1,0,-0.0352676335597701,0,-0.0425158278715596,0
AC004034.1,0,0.0204508444374997,0,-0.0406989502022501,0
AC004066.1,0,-0.0197644560552099,0,-0.0520079154551202,0
AC004066.2,0,0.0143511151953097,0,-0.0091403741968001,0
AC004067.1,0,0.0762997425175999,0,-0.0222357565217699,0
AC004069.1,0,0.1129943956672701,0,-0.0046425630471302,0
