GeneSymbol	Gene ID (Biomart)	log2FC	Significance
DDX11L1	84771	0.030809441270290172	0
WASH7P	0	0.0044208141154697955	0
MIR6859-1	102466751	0.010092964425199469	0
MIR1302-2HG	0	-0.13274990680200016	0
AL627309.1	0	-0.07107323408749977	0
CICP27	0	0.0	0
AL627309.6	0	0.11819939978756988	0
AL627309.7	0	0.08025344362689957	0
AL627309.5	0	-0.024992370582440415	0
FO538757.1	0	0.06305788517662059	0
WASH9P	0	0.004377946138530042	0
MIR6859-2	102465909	0.0	0
AP006222.1	0	-0.0247774601252706	0
AL732372.2	0	-0.07907111285859969	0
AL669831.3	0	0.0018697047301694525	0
AC114498.1	0	-0.02532640478939996	0
MTND1P23	0	-0.053678602047259716	0
MTND2P28	0	-0.011520203801920204	0
MTCO1P12	0	0.07099440591708905	0
MTCO2P12	0	-0.12842316361545958	0
MTATP6P1	0	-0.0401529887669998	0
MTCO3P12	0	0.08815943632161005	0
AL669831.1	0	0.03505002038594984	0
RNU6-1199P	0	0.00101442734267998	0
AL669831.5	105378580	-0.029481256399630063	0
AL669831.4	0	-0.05059577204418986	0
FAM87B	400728	-0.04227029195963983	0
LINC01128	643837	-0.023709835490530295	0
LINC00115	79854	-0.03464442599600037	0
FAM41C	284593	-3.182537238011207e-05	0
TUBB8P11	0	0.02740510138939012	0
AL669831.6	0	0.0	0
AL645608.6	0	0.09369069314576972	0
AL645608.2	0	0.021810531796180754	0
AL645608.4	0	-0.02969616204696024	0
LINC02593	0	-0.022142672114441098	0
SAMD11	148398	0.03553003676896971	0
NOC2L	0	-0.048822361654400126	0
KLHL17	339451	0.03392367456486056	0
PLEKHN1	84069	0.1306205674535006	0
PERM1	84808	-0.038901906861929625	0
AL645608.7	0	-0.1499466974497885	0
HES4	57801	-0.0005849585154997783	0
ISG15	9636	0.031797792484459464	0
AL645608.1	0	-1.7232226440455634e-05	0
AGRN	375790	0.013895911826599772	0
AL390719.1	0	0.04182230231054973	0
AL645608.8	0	0.0	0
RNF223	0	-0.12286641719092994	0
C1orf159	54991	-0.015773263374370572	0
AL390719.3	0	0.0	0
LINC01342	254099	0.10784859022393967	0
AL390719.2	0	-0.009899517807640201	0
TTLL10-AS1	100506376	0.0	0
TTLL10	254173	-0.055346067434350665	0
TNFRSF18	8784	0.0	0
TNFRSF4	7293	0.014586880331860286	0
SDF4	51150	-0.0049669875234013006	0
B3GALT6	126792	0.0363072252909209	0
C1QTNF12	388581	0.05520451421830952	0
AL162741.1	0	-0.010627314943770116	0
UBE2J2	118424	0.016639809444900067	0
LINC01786	0	0.09634743635643961	0
SCNN1D	6339	-0.003390576488079944	0
ACAP3	116983	0.0180292338396999	0
PUSL1	126789	0.022666617505590736	0
INTS11	54973	0.0403309989542997	0
AL139287.1	0	0.015972567181220754	0
CPTP	80772	-0.012747786413919826	0
TAS1R3	83756	0.10283444554101973	0
DVL1	1855	0.03739954346930041	0
MXRA8	54587	0.09809556629533134	0
AURKAIP1	54998	-0.04910418135606953	0
NDUFB4P8	0	-0.033367248266800154	0
CCNL2	81669	0.004701733698398769	0
MRPL20-AS1	148413	-0.03625942677087046	0
MRPL20	55052	-0.0741503992930106	0
AL391244.2	0	-0.038368752082160285	0
ANKRD65	441869	0.09798965909355939	0
AL391244.1	0	0.0	0
TMEM88B	0	-0.04782076544208014	0
LINC01770	0	0.0155958893453505	0
VWA1	64856	0.026115054612739996	0
ATAD3C	219293	-0.0013555676624905644	0
ATAD3B	83858	0.016581100306670038	0
AL645728.2	0	0.03441330471166015	0
ATAD3A	55210	-0.012017620143089047	0
TMEM240	339453	0.09823209008280998	0
SSU72	29101	0.015107643295699802	0
AL645728.1	0	-0.02871609252233931	0
