GeneSymbol	Gene ID (Biomart)	log2FC	Significance
DDX11L1	84771	0.004341759773359932	0
WASH7P	0	-0.0251239157615597	0
MIR6859-1	102466751	0.018252650912259583	0
MIR1302-2HG	0	0.02434257200095047	0
AL627309.1	0	-0.04352274316352922	0
CICP27	0	0.027506974700640008	0
AL627309.6	0	0.1114050756444902	0
AL627309.7	0	0.24594574824117998	0
AL627309.5	0	0.026894114686530024	0
FO538757.1	0	0.022293022923980388	0
WASH9P	0	0.06200556884371	0
MIR6859-2	102465909	0.0	0
AP006222.1	0	0.005808157607130049	0
AL732372.2	0	0.013732059665520602	0
AL669831.3	0	0.045861663509259465	0
AC114498.1	0	-0.02532640478939996	0
MTND1P23	0	-0.14863562685795983	0
MTND2P28	0	-0.38725516379400027	1
MTCO1P12	0	-0.1508727307884694	0
MTCO2P12	0	-0.10653468040570946	0
MTATP6P1	0	-0.34614526413360025	1
MTCO3P12	0	0.0015408445369802237	0
AL669831.1	0	0.08244136432466931	0
RNU6-1199P	0	-0.0029127780699900185	0
AL669831.5	105378580	-0.08861220769883982	0
AL669831.4	0	-0.06541567539804038	0
FAM87B	400728	0.016011156851180708	0
LINC01128	643837	-0.2231826141136004	1
LINC00115	79854	0.0427691367228098	0
FAM41C	284593	-0.030419752770630026	0
TUBB8P11	0	0.03465179449066014	0
AL669831.6	0	0.0	0
AL645608.6	0	0.05549638613256036	0
AL645608.2	0	-0.09901437999858942	0
AL645608.4	0	0.1155315765397198	0
LINC02593	0	-0.3445017068229106	1
SAMD11	148398	-0.4405910746472905	1
NOC2L	0	-0.11677604164920119	1
KLHL17	339451	-0.0020594560685402996	0
PLEKHN1	84069	-0.035032433617299574	0
PERM1	84808	-0.10004218741703941	0
AL645608.7	0	-0.6188888070749599	1
HES4	57801	-0.023851196556099907	0
ISG15	9636	0.07621372285339945	0
AL645608.1	0	-0.03142920978419017	0
AGRN	375790	0.053149047964200946	0
AL390719.1	0	0.10909889838421005	0
AL645608.8	0	0.0	0
RNF223	0	-0.12286641719092994	0
C1orf159	54991	0.04953228913453955	0
AL390719.3	0	0.0	0
LINC01342	254099	0.02678036223715985	0
AL390719.2	0	0.03593674946059	0
TTLL10-AS1	100506376	0.0	0
TTLL10	254173	0.16109678358649937	0
TNFRSF18	8784	0.0	0
TNFRSF4	7293	-0.005089019247909832	0
SDF4	51150	-0.0752148542390998	0
B3GALT6	126792	-0.06701507915436977	0
C1QTNF12	388581	0.0674694665736899	0
AL162741.1	0	0.05821731162201971	0
UBE2J2	118424	-0.043853213375660616	0
LINC01786	0	0.1204643430247101	0
SCNN1D	6339	0.04952343697596007	0
ACAP3	116983	-0.2197584825939991	1
PUSL1	126789	0.056321356446879633	0
INTS11	54973	0.04327003934229978	0
AL139287.1	0	0.041823542151880666	0
CPTP	80772	-0.11734907826856045	0
TAS1R3	83756	-0.15705123684052058	0
DVL1	1855	-0.043597079451199505	0
MXRA8	54587	0.5539448143303307	1
AURKAIP1	54998	-0.03095999362063928	0
NDUFB4P8	0	0.0008958391051905323	0
CCNL2	81669	-0.04055490306140008	0
MRPL20-AS1	148413	-0.04930395722647951	0
MRPL20	55052	-0.09832507394957979	0
AL391244.2	0	-0.05987513603489081	0
ANKRD65	441869	0.0228063001339196	0
AL391244.1	0	0.0	0
TMEM88B	0	0.07389575755393007	0
LINC01770	0	0.23363156132182983	0
VWA1	64856	0.4112429859383502	1
ATAD3C	219293	0.09194098987934929	0
ATAD3B	83858	-0.10986309623275048	0
AL645728.2	0	0.030323629431550536	0
ATAD3A	55210	-0.1031819290013587	0
TMEM240	339453	0.15832314021747962	0
SSU72	29101	-0.07777779458739964	0
AL645728.1	0	-0.05879578547394981	0
FNDC10	643988	-0.12928674334550916	0
AL691432.2	0	0.11259166473524118	0
MIB2	142678	-0.10056254936349873	0
MMP23B	8510	-0.014819263899299884	0
CDK11B	984	-0.10745844453825981	0
FO704657.1	0	0.10163448934970987	0
SLC35E2B	728661	-0.0637228870185993	0
AL691432.1	0	-0.07438412912642	0
MMP23A	0	0.0055134051260399275	0
CDK11A	728642	-0.13501973209372053	0
AL031282.2	0	0.15968867908076056	0
AL031282.1	0	0.10704655789064965	0
SLC35E2A	9906	-0.025790068624148788	0
NADK	65220	-0.05277615972678973	0
GNB1	2782	-0.01670764936429947	0
AL109917.1	105378949	0.11956083669386963	0
CALML6	163688	0.06146547934759994	0
TMEM52	0	0.1408685888571899	0
CFAP74	85452	0.06628125810652019	0
AL391845.2	0	-0.003878718860219621	0
GABRD	2563	0.03639397467471017	0
PRKCZ	5590	0.07768752624799014	0
AL590822.2	0	-0.08710080710967993	0
PRKCZ-AS1	100506504	-0.06536679726456018	0
FAAP20	199990	-0.005402826961178775	0
AL590822.1	0	-0.03202184241709016	0
SKI	6497	0.026143981612900546	0
MORN1	79906	0.03105992876842123	0
AL589739.1	0	-0.021407785290720405	0
AL513477.1	100129534	-0.025558794392970263	0
AL513477.2	0	0.052897135425950204	0
RER1	11079	-0.11708561689439989	1
PEX10	5192	0.04423930505667073	0
PLCH2	9651	0.34942696979103083	1
AL139246.1	0	-0.10497914562002997	0
AL139246.4	0	-0.1446445516071604	0
PANK4	55229	-0.006779711575559233	0
HES5	388585	0.032352881703850755	0
AL139246.5	0	0.36534947383565	1
TNFRSF14-AS1	0	0.02755049092397055	0
TNFRSF14	8764	0.09500321146456958	0
AL139246.2	0	0.029374197553249992	0
AL139246.3	0	0.012193209898970103	0
PRXL2B	127281	0.0424973283226997	0
MMEL1	79258	0.4026040209059101	1
AL831784.1	0	0.20587352537212045	0
TTC34	100287898	0.08147473172645991	0
AC242022.2	0	0.03434394446361022	0
AC242022.1	0	0.005834618644709799	0
AL589702.1	0	0.0	0
ACTRT2	140625	0.0455388090159099	0
LINC00982	0	0.16976410585764956	0
PRDM16	63976	0.12598144007763956	0
AL008733.1	0	-0.030419752770630026	0
AL512383.1	0	0.017812578187490047	0
AL590438.1	0	0.03569060718443051	0
ARHGEF16	27237	0.5696904707609001	1
AL512413.1	0	0.04838056255879053	0
MEGF6	1953	0.437307408613	1
MIR551A	693135	0.0	0
AL513320.1	0	0.027158463241969244	0
